"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 09 13:24:05 EET 2022","Mon May 09 13:24:18 EET 2022","12832","","Add Product to Cart","","Logged user could add different products to Shopping cart from the product page","","Logged user could add different products to Shopping cart from the product page",""
"passed","Mon May 09 13:23:10 EET 2022","Mon May 09 13:23:18 EET 2022","7465","","Change Currency","","Logged User could switch between currencies US-Euro","","Logged User could switch between currencies US-Euro",""
"passed","Mon May 09 13:22:48 EET 2022","Mon May 09 13:22:56 EET 2022","7451","","User Login","","User could log in with valid email and password","","User could log in with valid email and password",""
"passed","Mon May 09 13:24:48 EET 2022","Mon May 09 13:25:02 EET 2022","14765","","Create Order","","User can create successful Order","","User can create successful Order",""
"passed","Mon May 09 13:24:18 EET 2022","Mon May 09 13:24:26 EET 2022","7514","","Add Product to Wishlist","","Logged user could add different products to Wishlist","","Logged user could add different products to Wishlist",""
"passed","Mon May 09 13:23:25 EET 2022","Mon May 09 13:23:34 EET 2022","8827","","Product Color Filter","","Logged user could select different Categories","","Logged user could select different Categories",""
"passed","Mon May 09 13:24:26 EET 2022","Mon May 09 13:24:37 EET 2022","11696","","Add Product to Wishlist","","Logged user could add different products to Wishlist from the product page","","Logged user could add different products to Wishlist from the product page",""
"passed","Mon May 09 13:23:34 EET 2022","Mon May 09 13:23:42 EET 2022","8175","","Product Tags","","Logged user could select different tags from side menu","","Logged user could select different tags from side menu",""
"broken","Mon May 09 13:23:52 EET 2022","Mon May 09 13:24:05 EET 2022","13617","","Add Product to Cart","","Logged user could add different products to Shopping cart","","Logged user could add different products to Shopping cart",""
"passed","Mon May 09 13:22:56 EET 2022","Mon May 09 13:23:01 EET 2022","5598","","Resting Password","","User could reset his/her password successfully","","User could reset his/her password successfully",""
"passed","Mon May 09 13:24:37 EET 2022","Mon May 09 13:24:48 EET 2022","10306","","Add Products to Compare List","","Logged user could add different products to compare list","","Logged user could add different products to compare list",""
"passed","Mon May 09 13:22:29 EET 2022","Mon May 09 13:22:48 EET 2022","19324","","User Registration","","User could register with valid data","","User could register with valid data",""
"passed","Mon May 09 13:23:01 EET 2022","Mon May 09 13:23:10 EET 2022","9027","","Product Search","","Logged User could search for any product","","Logged User could search for any product",""
"passed","Mon May 09 13:23:18 EET 2022","Mon May 09 13:23:25 EET 2022","6917","","Select different categories","","Logged user could select different Categories","","Logged user could select different Categories",""
"passed","Mon May 09 13:23:42 EET 2022","Mon May 09 13:23:52 EET 2022","9630","","Product Tags","","Logged user could select different tags from tags page","","Logged user could select different tags from tags page",""
